ocreval Word Accuracy Report Version 7.0
----------------------------------------
    6487   Words
    2953   Misrecognized
   54.48%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       0        0   ------    Total

Non-stopwords
   Count   Missed   %Right   Length
       1        0   100.00   الشيخ
       1        1     0.00   الشيشكلي
       2        1    50.00   الشيعة
       1        0   100.00   الشيوخ
       1        1     0.00   الشيوعي
       1        0   100.00   الصادرة
       1        1     0.00   الصباح
       1        0   100.00   الصحة
       1        0   100.00   الصحراء
       1        0   100.00   الصحراوي
       1        1     0.00   الصحفيين
       2        0   100.00   الصحيحة
       1        0   100.00   الصراع
       1        0   100.00   الصرف
       1        0   100.00   الصعب
       1        0   100.00   الصغيرة
       1        0   100.00   الصف
       1        0   100.00   الصفة
       1        0   100.00   الصفوية
       1        0   100.00   الصلات
       1        1     0.00   الصلاحيات
       1        0   100.00   الصلة
       1        0   100.00   الصلوات
       2        0   100.00   الصناعات
       3        1    66.67   الصناعة
       1        1     0.00   الصناعي
       1        1     0.00   الصناعية
       1        1     0.00   الصوفي
       1        1     0.00   الصوفية
       1        0   100.00   الضائعة
       1        0   100.00   الضاربة
       1        0   100.00   الضارة
       1        1     0.00   الضرر
       1        1     0.00   الضيق
       1        1     0.00   الطائرة
       1        0   100.00   الطاقة
       1        0   100.00   الطالب
       5        2    60.00   الطبعة
       1        1     0.00   الطبي
       1        1     0.00   الطبيعة
       3        1    66.67   الطبيعي
       1        0   100.00   الطحين
       1        0   100.00   الطرف
       1        0   100.00   الطرق
       1        1     0.00   الطريقة
       1        0   100.00   الطعام
       1        0   100.00   الطفرة
       1        0   100.00   الطفره
       1        0   100.00   الطلب
       1        1     0.00   الطمأنينـة
       1        1     0.00   الطهطاوي
       1        1     0.00   الطيارة
       1        1     0.00   الظروف
       1        1     0.00   الظهيرة
       3        0   100.00   العادية
       1        0   100.00   العاشر
       1        1     0.00   العاصمة
       7        7     0.00   العالم
       1        1     0.00   العالمي
       1        1     0.00   العالمية
       1        1     0.00   العالية
       6        0   100.00   العام
       5        0   100.00   العامة
       2        0   100.00   العامل
       1        0   100.00   العاملة
       4        3    25.00   العباسي
       1        1     0.00   العثماني
       2        0   100.00   العدالة
       1        1     0.00   العدوان
       5        0   100.00   العراق
       3        1    66.67   العراقي
       3        3     0.00   العراقية
       6        0   100.00   العرب
       1        1     0.00   العربـي
       8        4    50.00   العربي
      29       13    55.17   العربية
       1        0   100.00   العرش
       2        0   100.00   العرض
       1        0   100.00   العرف
       1        0   100.00   العرق
       1        0   100.00   العروبة
       1        0   100.00   العزم
       1        0   100.00   العزيز
       1        1     0.00   العسكري
       3        2    33.33   العسكرية
